Player,Sim,1,2,3,4,5,6,7,8,9,10
Raef LaFrentz,,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2
Lonnie Shelton,89.0,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Wil Jones,88.3,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,
Cincinnatus Powell,88.0,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,
Danilo Gallinari,87.4,7.2,6.3,6.1,5.6,3.9,3.9,1.0,,,
Sidney Wicks,87.0,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1
Campy Russell,86.1,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,
Dave Greenwood,84.8,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2.0,1.1
Jim Pollard,84.3,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,
Gus Johnson,83.8,7.2,5.9,5.3,5.1,5.0,3.5,2.2,1.6,0.9,0.1
Curtis Rowe,83.6,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0.0,,
