Player,Sim,1,2,3,4,5,6,7,8,9
Jumaine Jones,,3.7,3.3,3.0,2.9,2.3,0.1,0.0,-0.2,
Glen Gondrezick,89.9,3.6,3.1,3.1,2.7,2.5,0.9,,,
Nick Weatherspoon,88.3,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,
Edgar Jones,86.6,3.4,3.4,2.6,2.4,2.3,0.9,,,
Willie Norwood,86.5,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,
Al-Farouq Aminu,86.3,4.0,3.3,3.1,3.1,1.4,0.7,,,
Craig Smith,85.3,3.9,3.5,3.1,3.0,1.5,1.0,,,
Derrick Williams,84.3,3.6,3.0,2.6,2.1,1.8,,,,
Anthony Tolliver,82.0,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0.0,
E.C. Coleman,81.5,3.2,2.7,2.6,2.5,1.7,0.1,,,
Kenny Gattison,80.6,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0
