Assists Per Game
1997-98 NBA 8.2 (8th)
1998-99 NBA 7.7 (7th)
2004-05 NBA 9.0 (2nd)
2005-06 NBA 8.8 (3rd)
Career NBA 6.1 (49th)
Career 6.1 (50th)
