2-Pt Field Goals
2000-01 NBA 640 (9th)
2001-02 NBA 716 (2nd)
2002-03 NBA 744 (1st)
2005-06 NBA 798 (1st)
2006-07 NBA 676 (1st)
2007-08 NBA 625 (7th)
2008-09 NBA 682 (3rd)
2009-10 NBA 617 (10th)
2010-11 NBA 625 (8th)
2011-12 NBA 487 (6th)
2012-13 NBA 606 (4th)
Career NBA 9892 (12th)
Career 9892 (16th)
