Field Goals Missed
2001-02 NBA 848 (5th)
2002-03 NBA 1056 (2nd)
2005-06 NBA 1195 (1st)
2006-07 NBA 944 (1st)
2007-08 NBA 915 (1st)
2008-09 NBA 912 (1st)
2009-10 NBA 853 (2nd)
2010-11 NBA 899 (1st)
2011-12 NBA 762 (1st)
2012-13 NBA 857 (2nd)
Career NBA 14481 (1st)
Career 14481 (1st)
