2-Pt Field Goal Attempts
2001-02 NBA 1465 (2nd)
2002-03 NBA 1600 (2nd)
2005-06 NBA 1655 (1st)
2006-07 NBA 1359 (1st)
2007-08 NBA 1275 (7th)
2008-09 NBA 1376 (3rd)
2009-10 NBA 1268 (6th)
2010-11 NBA 1283 (7th)
2011-12 NBA 1049 (2nd)
2012-13 NBA 1188 (4th)
Career NBA 20654 (9th)
Career 20654 (13th)
