Value Over Replacement Player
2002-03 NBA 7.1 (4th)
2003-04 NBA 4.7 (8th)
2005-06 NBA 6.5 (5th)
2006-07 NBA 5.3 (6th)
2007-08 NBA 6.0 (3rd)
2008-09 NBA 4.9 (6th)
2012-13 NBA 5.1 (7th)
Career NBA 72.1 (15th)
Career 72.1 (16th)
