Offensive Win Shares
2000-01 NBA 9.2 (6th)
2001-02 NBA 8.9 (7th)
2002-03 NBA 11.0 (2nd)
2005-06 NBA 11.6 (4th)
2006-07 NBA 10.8 (3rd)
2007-08 NBA 9.5 (5th)
2008-09 NBA 8.6 (6th)
2012-13 NBA 8.4 (7th)
Career NBA 122.1 (12th)
Career 122.1 (12th)
