Player Efficiency Rating
2000-01 NBA 24.5 (6th)
2001-02 NBA 23.2 (8th)
2002-03 NBA 26.2 (5th)
2003-04 NBA 23.7 (5th)
2004-05 NBA 23.3 (7th)
2005-06 NBA 28.0 (3rd)
2006-07 NBA 26.1 (5th)
2007-08 NBA 24.2 (8th)
2008-09 NBA 24.4 (6th)
2010-11 NBA 23.9 (5th)
2012-13 NBA 23.0 (10th)
Career NBA 22.9 (23rd)
Career 22.9 (24th)
