Offensive Box Plus/Minus
2000-01 NBA 5.3 (8th)
2002-03 NBA 6.1 (2nd)
2003-04 NBA 5.5 (5th)
2004-05 NBA 5.6 (4th)
2005-06 NBA 7.3 (2nd)
2006-07 NBA 6.1 (4th)
2007-08 NBA 5.1 (5th)
2008-09 NBA 4.8 (5th)
2009-10 NBA 3.6 (10th)
2010-11 NBA 4.7 (6th)
2012-13 NBA 5.2 (7th)
Career NBA 4.4 (14th)
Career 4.4 (14th)
