All-League
1996-97 All-Rookie (2nd)
1998-99 All-NBA (3rd)
1999-00 All-Defensive (1st)
1999-00 All-NBA (2nd)
2000-01 All-Defensive (2nd)
2000-01 All-NBA (2nd)
2001-02 All-Defensive (2nd)
2001-02 All-NBA (1st)
2002-03 All-Defensive (1st)
2002-03 All-NBA (1st)
2003-04 All-Defensive (1st)
2003-04 All-NBA (1st)
2004-05 All-NBA (3rd)
2005-06 All-Defensive (1st)
2005-06 All-NBA (1st)
2006-07 All-Defensive (1st)
2006-07 All-NBA (1st)
2007-08 All-Defensive (1st)
2007-08 All-NBA (1st)
2008-09 All-Defensive (1st)
2008-09 All-NBA (1st)
2009-10 All-Defensive (1st)
2009-10 All-NBA (1st)
2010-11 All-Defensive (1st)
2010-11 All-NBA (1st)
2011-12 All-Defensive (2nd)
2011-12 All-NBA (1st)
2012-13 All-NBA (1st)
