Free Throw Attempts
2000-01 NBA 557 (8th)
2001-02 NBA 589 (5th)
2002-03 NBA 713 (5th)
2003-04 NBA 533 (5th)
2004-05 NBA 664 (7th)
2005-06 NBA 819 (2nd)
2006-07 NBA 768 (1st)
2007-08 NBA 742 (4th)
2008-09 NBA 564 (6th)
2010-11 NBA 583 (10th)
2011-12 NBA 451 (6th)
2012-13 NBA 626 (4th)
Career NBA 10011 (5th)
Career 10011 (5th)
