Minutes Per Game
2000-01 NBA 40.9 (7th)
2002-03 NBA 41.5 (4th)
2004-05 NBA 40.7 (5th)
2005-06 NBA 41.0 (5th)
2006-07 NBA 40.8 (4th)
2009-10 NBA 38.8 (7th)
2011-12 NBA 38.5 (4th)
2012-13 NBA 38.6 (2nd)
Career NBA 36.1 (41st)
Career 36.1 (42nd)
