MVP Award Shares
1999-00 NBA 0.002 (12)
2000-01 NBA 0.009 (9)
2001-02 NBA 0.078 (5)
2002-03 NBA 0.417 (3)
2003-04 NBA 0.172 (5)
2005-06 NBA 0.386 (4)
2006-07 NBA 0.404 (3)
2007-08 NBA 0.877 (1)
2008-09 NBA 0.577 (2)
2009-10 NBA 0.487 (3)
2010-11 NBA 0.354 (4)
2011-12 NBA 0.291 (4)
2012-13 NBA 0.152 (5)
Career 4.206 (11)
