Weekly Awards
"Apr 16, 2000 Player of the Week"
"Dec 24, 2000 Player of the Week"
"Nov 4, 2001 Player of the Week"
"Jan 20, 2002 Player of the Week"
"Nov 3, 2002 Player of the Week"
"Dec 8, 2002 Player of the Week"
"Jan 12, 2003 Player of the Week"
"Feb 2, 2003 Player of the Week"
"Feb 23, 2003 Player of the Week"
"Feb 22, 2004 Player of the Week"
"Mar 28, 2004 Player of the Week"
"Nov 6, 2005 Player of the Week"
"Dec 18, 2005 Player of the Week"
"Dec 25, 2005 Player of the Week"
"Jan 22, 2006 Player of the Week"
"Apr 16, 2006 Player of the Week"
"Mar 18, 2007 Player of the Week"
"Mar 25, 2007 Player of the Week"
"Jan 13, 2008 Player of the Week"
"Mar 2, 2008 Player of the Week"
"Apr 6, 2008 Player of the Week"
"Dec 28, 2008 Player of the Week"
"Jan 11, 2009 Player of the Week"
"Mar 15, 2009 Player of the Week"
"Nov 22, 2009 Player of the Week"
"Dec 20, 2009 Player of the Week"
"Dec 27, 2009 Player of the Week"
"Mar 27, 2011 Player of the Week"
"Jan 8, 2012 Player of the Week"
"Jan 15, 2012 Player of the Week"
"Feb 24, 2013 Player of the Week"
"Mar 10, 2013 Player of the Week"
"Apr 14, 2013 Player of the Week"
