Field Goal Attempts
2001-02 NBA 1597 (4th)
2002-03 NBA 1924 (2nd)
2005-06 NBA 2173 (1st)
2006-07 NBA 1757 (1st)
2007-08 NBA 1690 (1st)
2008-09 NBA 1712 (2nd)
2009-10 NBA 1569 (2nd)
2010-11 NBA 1639 (1st)
2011-12 NBA 1336 (1st)
2012-13 NBA 1595 (1st)
Career NBA 26200 (3rd)
Career 26200 (3rd)
