Player,Sim,1,2,3,4
Sergey Karasev,,0.7,0.3,-0.1,
Glenn Hansen,79.5,0.8,0.4,-0.1,
Raymond Townsend,78.6,0.8,0.4,-0.2,
Greg Sutton,74.8,0.8,0.2,-0.1,
Phil Pressey,74.6,0.8,0.1,-0.1,
Andre McCarter,70.6,0.8,0.3,0.0,
Ian Clark,67.8,0.9,0.2,-0.1,
Tom Ingelsby,61.5,0.7,0.1,0.0,
Connie Norman,59.1,0.8,0.2,0.2,
Sam Jacobson,56.3,0.9,0.2,0.0,
Willie Smith,54.3,1.0,0.3,0.0,0.0
