Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Darrick Martin,,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.0,-0.1,-0.2
Johnny Neumann,85.8,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,,,,
Troy Hudson,82.8,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0.0,-0.1,-0.2,,
Ed Fleming,82.6,5.0,2.0,1.2,1.0,0.8,,,,,,,,
Jason Hart,80.5,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3,,,,
Ernie Beck,77.4,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,,,,,,
Rick Mount,75.5,4.6,3.5,1.1,0.7,0.6,,,,,,,,
Pep Saul,75.2,4.2,2.8,1.5,0.8,0.6,,,,,,,,
Jim Les,72.2,3.6,2.3,1.3,0.3,0.3,0.2,0.1,,,,,,
Matt Maloney,72.1,5.3,2.2,1.5,0.7,0.1,-0.3,,,,,,,
Al Smith,71.5,4.5,3.3,1.8,0.9,0.6,,,,,,,,
