Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,30,CHH,NBA,SG,10,394,14%,85%,,,,7.4,2.1,2,8,4,12,,4,0,84,13,3,7
2001-02,31,CHH,NBA,SG,9,377,10%,90%,,,,-0.7,-5.5,10,6,5,5,,4,0,68,6,0,4
2002-03,32,NOH,NBA,SG,6,185,16%,84%,,,,-5.2,-10.7,4,6,5,7,,4,0,30,2,1,1
2003-04,33,NOH,NBA,SG,7,243,,100%,,,,-4.0,-2.3,9,4,3,9,,2,0,37,3,0,3
2004-05,34,HOU,NBA,SG,7,280,6%,83%,11%,,,-2.1,5.0,5,2,2,8,,1,0,55,6,2,6
