Field Goal Attempts
2003-04 NBA 1465 (5th)
2005-06 NBA 1572 (5th)
2006-07 NBA 1453 (6th)
2007-08 NBA 1481 (6th)
2009-10 NBA 1502 (5th)
2010-11 NBA 1503 (5th)
2012-13 NBA 1489 (3rd)
2013-14 NBA 1643 (2nd)
2016-17 NBA 953 (4th)
Active 18636 (5th)
Career NBA 18636 (27th)
Career 18636 (31st)
