Field Goals Missed
2003-04 NBA 841 (6th)
2005-06 NBA 816 (9th)
2006-07 NBA 762 (6th)
2009-10 NBA 814 (4th)
2010-11 NBA 819 (5th)
2011-12 NBA 584 (9th)
2012-13 NBA 820 (4th)
2013-14 NBA 900 (1st)
2016-17 NBA 538 (4th)
Active 10207 (4th)
Career NBA 10207 (20th)
Career 10207 (25th)
