Free Throw Attempts
2003-04 NBA 525 (7th)
2005-06 NBA 709 (7th)
2007-08 NBA 590 (8th)
2009-10 NBA 612 (6th)
2010-11 NBA 605 (8th)
2012-13 NBA 512 (7th)
2013-14 NBA 541 (9th)
Active 6971 (6th)
Career NBA 6971 (30th)
Career 6971 (33rd)
