Points Per Game
2005-06 NBA 26.5 (8th)
2006-07 NBA 28.9 (2nd)
2007-08 NBA 25.7 (4th)
2008-09 NBA 22.8 (8th)
2009-10 NBA 28.2 (3rd)
2010-11 NBA 25.6 (3rd)
2011-12 NBA 22.6 (6th)
2012-13 NBA 28.7 (1st)
2013-14 NBA 27.4 (2nd)
Active 24.8 (3rd)
Career NBA 24.8 (13th)
Career 24.8 (13th)
