2-Pt Field Goals
2003-04 NBA 555 (6th)
2005-06 NBA 719 (5th)
2006-07 NBA 651 (3rd)
2007-08 NBA 670 (5th)
2009-10 NBA 629 (9th)
2013-14 NBA 576 (7th)
Active 7306 (4th)
Career NBA 7306 (41st)
Career 7306 (45th)
