Player,Sim,1,2,3,4,5,6,7,8,9
Marcin Gortat,,8.6,8.1,7.6,7.3,6.4,3.4,3.4,3.3,0.1
Al Jefferson,87.9,7.8,7.7,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Jim Eakins,86.4,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9
Arvydas Sabonis,85.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,
Zydrunas Ilgauskas,85.5,9.4,8.7,8.1,7.8,6.6,5.0,2.5,0.7,0.5
Tom Owens,85.2,10.4,8.3,8.0,6.9,6.9,6.0,2.9,2.5,0.9
Clifford Ray,84.8,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9
Nate Thurmond,84.2,9.0,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
Vlade Divac,84.1,9.5,8.3,7.4,7.3,6.1,5.9,5.6,5.0,1.8
Red Rocha,83.7,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0
Tree Rollins,83.5,9.2,7.3,6.4,6.4,5.5,5.0,3.8,3.4,2.6
