Effective Field Goal Pct
2010-11 NBA .561 (8th)
2011-12 NBA .555 (8th)
2014-15 NBA .566 (6th)
2015-16 NBA .567 (10th)
2016-17 NBA .605 (7th)
Active .557 (7th)
Career NBA .557 (19th)
Career .557 (20th)
