Field Goal Pct
2010-11 NBA .560 (4th)
2011-12 NBA .555 (6th)
2014-15 NBA .567 (3rd)
2015-16 NBA .567 (5th)
2016-17 NBA .605 (5th)
Active .557 (5th)
Career NBA .557 (14th)
Career .557 (15th)
