Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marcin Gortat,,8.6,8.1,7.6,7.3,6.4,3.4,3.4,3.3,0.1,,
Arvydas Sabonis,85.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,
Jim Eakins,85.4,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,
Clifford Ray,84.4,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,
Red Rocha,83.7,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,
Brook Lopez,83.2,9.0,7.9,7.0,6.3,6.2,5.8,2.3,0.3,,,
Chuck Share,82.3,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3,,,
Emeka Okafor,82.2,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,,
Arnie Risen,81.0,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,
Joakim Noah,80.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1,,
Swen Nater,80.6,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1
