Player,Sim,1,2,3
Allen Crabbe,,4.3,1.3,0.1
Lou Williams,93.7,4.4,1.1,-0.1
Ron Perry,93.7,4.4,1.4,0.3
Doug West,92.0,4.6,1.2,-0.1
Jeffrey Congdon,90.2,4.3,0.9,0.3
Matt Guokas,89.2,4.2,1.2,0.5
Kevin Grevey,88.8,4.4,0.7,0.1
Jack McMahon,88.2,4.7,1.3,-0.2
Charles Dudley,87.0,4.6,1.6,0.2
Paul Thompson,86.1,3.7,1.1,0.1
John Barnhill,85.7,4.6,1.0,0.4
