Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,25,UTA,NBA,PG,23,2,210,4.6,12.7,.365,0.5,2.7,.188,4.1,9.9,.414,2.1,3.1,.667,1.9,1.7,3.6,1.4,0.9,0.0,2.2,4.3,11.8
2007-08,27,IND,NBA,PG,31,7,392,3.7,9.8,.374,1.7,3.7,.450,2.0,6.2,.328,2.3,3.1,.735,1.2,3.1,4.3,4.3,1.2,0.3,2.2,3.4,11.3
