Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ryan Anderson,,8.9,6.5,6.4,3.9,3.5,3.1,2.5,2.3,,,,,,
Carl Landry,90.3,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,,,,
Charles Smith,88.2,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,,,,
Drew Gooden,85.0,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1
Chris Mills,84.5,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1,,,,
Kevin Gamble,84.3,8.3,6.7,6.6,3.4,2.1,1.9,1.8,1.6,1.0,-0.1,,,,
Jamal Mashburn,83.6,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,,,
Joe Caldwell,82.9,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,,
Matt Harpring,82.4,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,,,
Cedric Ceballos,82.1,9.8,6.2,5.5,5.2,4.0,2.8,2.4,1.3,1.3,1.3,0.4,,,
Luis Scola,81.9,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,,,,,
