Player,Sim,1,2,3,4,5,6,7,8
Ryan Anderson,,8.9,6.5,6.4,3.9,3.5,3.1,2.5,2.3
Drew Gooden,93.0,8.5,6.6,6.5,4.4,3.3,2.7,1.9,1.7
Charles Smith,88.3,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9
Orlando Woolridge,87.9,9.0,6.8,5.6,5.3,3.6,3.3,1.8,0.8
Hedo Turkoglu,87.6,9.0,7.6,6.7,5.2,4.9,3.4,2.8,2.6
Carl Landry,87.5,7.7,6.2,5.9,4.1,3.7,2.9,2.8,0.4
Luis Scola,87.3,8.6,6.5,6.3,5.5,4.4,4.4,3.4,2.5
Corey Maggette,87.3,8.6,8.1,7.0,5.0,3.9,3.3,3.0,2.6
Metta World Peace,86.6,8.0,7.2,6.7,3.7,2.7,2.3,1.9,1.3
Matt Harpring,85.8,8.8,6.1,5.5,4.7,2.8,2.6,2.6,0.2
Stacey Augmon,85.7,9.7,5.6,5.1,3.7,3.7,2.6,1.8,1.5
