Player,Sim,1,2,3,4,5,6,7,8,9
Larry Sanders,,6.0,1.6,1.0,1.0,0.7,,,,
Don MacLean,82.5,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0.0,-0.2
Wah Wah Jones,75.7,5.9,2.1,0.8,,,,,,
Don May,75.5,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,
Fabricio Oberto,72.2,6.1,4.1,1.7,1.1,0.6,0.0,,,
Alex Hannum,71.8,5.1,2.1,1.7,1.6,0.5,0.4,,,
Dick Mehen,71.7,5.6,1.9,0.6,,,,,,
Vern Gardner,70.8,5.9,1.6,-0.1,,,,,,
Tyler Zeller,68.5,6.5,2.6,2.0,1.7,,,,,
Brian Cook,67.2,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Landry Fields,66.7,5.3,3.4,1.1,0.4,0.3,,,,
