Player,Sim,1,2,3,4,5,6,7,8
Garrett Temple,,2.7,1.5,1.2,0.4,0.3,-0.4,,
Mike Barr,83.8,2.7,1.7,1.4,0.7,0.4,,,
Bo Lamar,79.5,2.5,1.5,1.0,0.5,,,,
Alan Anderson,79.1,2.7,1.7,1.6,0.4,0.3,0.3,0.1,
Tom Garrick,77.1,2.5,1.8,1.4,0.2,,,,
Shelvin Mack,75.8,2.3,1.3,1.3,0.7,0.5,,,
Tyus Edney,75.3,3.3,1.5,1.4,0.5,,,,
Mike Holton,75.1,2.3,1.3,0.8,0.3,0.2,-0.2,,
Anthony Goldwire,75.1,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Rumeal Robinson,74.6,2.4,1.9,1.0,0.5,-0.1,-0.6,,
James Robinson,74.4,2.3,1.9,1.2,0.2,0.2,0.0,-0.1,
