Player,Sim,1,2,3,4
Dominique Jones,,0.2,0.0,0.0,
Manny Harris,83.1,0.3,0.0,0.0,
Gerald Madkins,66.8,0.3,0.1,0.0,
Michael Hawkins,48.9,0.2,0.0,0.0,0.0
Awvee Storey,42.2,0.2,0.1,0.0,
Michael Phelps,40.6,0.3,0.1,-0.1,
A.J. Guyton,39.8,0.3,0.1,-0.1,
Bob Duffy,37.1,0.3,0.1,0.1,
Malcolm Lee,36.3,0.4,0.1,0.0,
Dell Demps,33.1,0.2,0.0,0.0,
Anthony Roberson,31.8,0.2,0.2,0.1,
