Player,Sim,1,2,3
Dominique Jones,,0.2,0.0,0.0
Manny Harris,83.1,0.3,0.0,0.0
Willie Smith,74.1,0.3,0.0,0.0
Gerald Madkins,66.8,0.3,0.1,0.0
Michael Hawkins,63.9,0.2,0.0,0.0
Jannero Pargo,63.1,0.2,0.1,0.1
Eddie Gill,51.4,0.3,0.1,0.0
Jamison Brewer,51.1,0.2,0.0,0.0
Randy Livingston,47.7,0.3,0.1,0.0
Morlon Wiley,45.7,0.2,0.1,0.1
Rusty LaRue,43.0,0.3,0.1,-0.1
