Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2012-13,22,PHI,NBA,PF,47,542,.582,6.6,1.000,.560,.142,.112,.187,.000,.582,.693,.421,.267,.560,,.667,.157,20,,,,0,0
2013-14,23,PHI,NBA,PF,12,187,.421,10.3,1.000,.342,.105,.211,.342,.000,.421,.615,.000,.250,.462,,.750,.079,3,,,,0,0
