Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Andrei Kirilenko,,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3,0.0,,,
Bernard King,93.9,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0,,
Luol Deng,90.2,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3.0,3.0,,,,
Hot Rod Williams,89.1,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,,,
Zach Randolph,88.8,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5,
Shareef Abdur-Rahim,88.4,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0.0,,,,
John Drew,88.3,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,,,,,
Tom Chambers,88.1,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4
Shane Battier,88.0,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,,,
David Lee,87.8,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.0,3.2,3.0,2.7,,,,,
Don Nelson,86.7,8.8,8.7,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.6,2.3,2.1,0.4,,
