Blocks Per Game
2002-03 NBA 2.2 (8th)
2003-04 NBA 2.8 (3rd)
2004-05 NBA 3.3 (1st)
2005-06 NBA 3.2 (2nd)
2006-07 NBA 2.1 (9th)
Career NBA 1.8 (27th)
Career 1.8 (27th)
