Defensive Box Plus/Minus
2001-02 NBA 3.0 (8th)
2002-03 NBA 4.0 (4th)
2003-04 NBA 4.7 (5th)
2005-06 NBA 4.9 (3rd)
2006-07 NBA 4.4 (4th)
Career NBA 3.5 (15th)
Career 3.5 (16th)
