Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,187,9,2033,3.2,8.8,.361,1.1,3.5,.320,2.1,5.3,.388,2.7,3.1,.847,0.5,3.2,3.7,3.8,1.8,0.2,2.5,3.7,10.1
2 seasons,,IND,NBA,,114,3,1143,2.9,9.0,.317,1.4,4.4,.307,1.5,4.6,.327,2.8,3.3,.856,0.5,3.5,4.0,3.0,2.2,0.2,2.2,3.7,9.9
1 season,,MEM,NBA,,23,5,384,3.7,8.6,.424,0.7,2.1,.318,3.0,6.6,.457,2.9,3.7,.795,0.7,2.0,2.6,4.6,1.0,0.3,3.2,3.6,10.9
1 season,,POR,NBA,,22,0,157,3.4,8.3,.417,0.7,1.8,.375,2.8,6.4,.429,3.9,4.6,.850,0.9,3.0,3.9,3.7,2.1,0.2,2.8,3.7,11.5
2 seasons,,NJN,NBA,,21,1,301,3.3,8.4,.400,1.0,2.8,.348,2.4,5.6,.426,1.6,1.7,.929,0.1,3.6,3.7,5.4,1.3,0.4,2.2,3.2,9.2
1 season,,MIL,NBA,,6,0,43,5.0,7.5,.667,1.7,2.5,.667,3.3,5.0,.667,0.0,0.0,,0.0,3.3,3.3,9.2,2.5,0.8,4.2,8.4,11.7
1 season,,SEA,NBA,,1,0,5,0.0,14.4,.000,0.0,7.2,.000,0.0,7.2,.000,0.0,0.0,,0.0,0.0,0.0,7.2,0.0,0.0,7.2,0.0,0.0
