Player,Sim,1,2,3,4,5
Tim Hardaway,,3.1,1.9,0.8,,
Andre Roberson,91.0,3.4,2.1,0.8,,
Ralph Johnson,90.1,2.9,1.6,0.8,0.0,
Jeff Judkins,85.4,3.0,1.8,0.7,0.6,0.2
Louie Nelson,85.1,2.9,2.3,1.1,0.0,0.0
Maurice McHartley,85.0,2.4,1.8,0.8,,
Shabazz Muhammad,82.8,2.7,2.0,0.3,,
Alfred McGuire,82.7,3.4,1.9,0.1,,
Hollis Thompson,82.5,2.6,2.0,1.2,,
Billy Ray Bates,82.3,3.6,2.4,0.9,0.0,
Jordan Crawford,81.1,2.8,1.9,1.1,-0.6,
