Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Enes Kanter,,8.1,6.4,2.3,2.2,1.7,,,,,,,
Bob Rule,79.1,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,,,,
Mike Lewis,77.8,7.9,7.5,4.0,3.8,1.1,0.0,,,,,,
Gheorghe Muresan,74.5,8.0,5.3,4.1,1.3,0.3,-0.1,,,,,,
Roy Tarpley,74.2,7.8,3.5,3.1,2.8,2.0,0.6,,,,,,
Don Otten,73.8,8.5,5.8,4.9,1.7,,,,,,,,
Tom Burleson,72.3,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,,,,,
Bill McGill,71.8,7.1,4.6,3.1,2.2,-0.1,,,,,,,
Nikola Vucevic,69.7,7.0,5.7,5.2,4.4,1.8,,,,,,,
Nikola Pekovic,69.0,6.7,5.9,4.5,1.2,0.6,-0.1,,,,,,
Jamaal Magloire,66.7,7.6,6.7,5.7,2.6,2.0,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
