Player,Sim,1,2,3,4,5,6,7,8
Nicolas Batum,,7.9,6.6,5.8,5.2,5.0,4.8,3.7,3.5
Mike Miller,93.8,7.4,7.0,5.3,5.0,4.8,4.5,4.0,3.9
Caron Butler,91.9,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1
Xavier McDaniel,91.5,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4
Luis Scola,91.0,8.6,6.5,6.3,5.5,4.4,4.4,3.4,2.5
Charles Oakley,90.9,7.3,6.7,6.2,6.0,5.7,5.7,3.5,3.3
Brian Grant,90.7,8.7,6.3,5.9,5.3,4.8,4.7,3.5,1.0
Antonio Davis,90.5,7.4,7.2,6.1,6.0,5.2,5.0,4.0,2.0
Purvis Short,90.4,6.2,6.0,5.7,5.4,5.2,5.0,3.7,2.6
Maurice Lucas,89.8,8.7,7.4,6.2,5.8,5.5,4.7,3.5,2.4
Josh Smith,89.8,9.3,6.8,6.4,5.8,4.9,4.4,3.6,2.4
