Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,BOS,NBA,PG,1,0,19:49,2,3,.667,0,0,,0,0,,1,1,5,1,0,2,1,4
2010-11,24,BOS,NBA,PG,1,0,20:34,3,5,.600,0,0,,0,0,,2,2,8,0,0,2,0,6
2011-12,25,BOS,NBA,PG,1,0,15:34,1,3,.333,0,0,,0,0,,0,2,8,0,0,4,1,2
2012-13,26,BOS,NBA,PG,,,,,,,,,,,,,,,,,,,,
