Assists Per Game
2008-09 NBA 8.2 (6th)
2009-10 NBA 9.8 (4th)
2010-11 NBA 11.2 (2nd)
2011-12 NBA 11.7 (1st)
2012-13 NBA 11.1 (1st)
2014-15 NBA 7.9 (5th)
2015-16 NBA 11.7 (1st)
Active 8.6 (3rd)
Career NBA 8.6 (9th)
Career 8.6 (9th)
