Steals Per Game
2006-07 NBA 1.6 (9th)
2008-09 NBA 1.9 (5th)
2009-10 NBA 2.3 (1st)
2010-11 NBA 2.2 (2nd)
2015-16 NBA 2.0 (7th)
Active 1.8 (2nd)
Career NBA 1.8 (30th)
Career 1.8 (34th)
