Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tiago Splitter,,8.2,4.6,4.3,4.0,2.3,1.7,,,,,,
George Carter,86.2,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,,,,
Les Hunter,84.7,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,,,,,
Bison Dele,83.6,6.9,4.7,4.0,2.4,2.3,1.8,0.3,0.2,,,,
Patrick Patterson,83.2,6.1,4.1,3.8,3.6,2.4,1.6,,,,,,
Doug Moe,82.4,9.4,5.2,4.8,4.3,1.8,,,,,,,
Reggie King,82.4,8.3,6.2,4.8,3.4,1.6,0.5,,,,,,
Adam Keefe,81.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,,
Curtis Perry,80.6,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,,,,
Derrick Favors,80.5,8.3,7.1,5.1,4.4,3.0,2.9,,,,,,
Tracy Murray,80.3,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
