Player,Sim,1,2,3,4,5,6,7,8,9,10
Gary Neal,,3.5,2.5,1.9,1.4,1.0,0.6,,,,
Larry Wright,91.3,3.5,2.7,1.8,1.4,1.2,0.0,,,,
Ron Lee,89.5,3.8,2.8,1.6,1.4,0.8,0.3,,,,
Rick Adelman,88.7,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,,
Sam Vincent,87.2,3.3,2.4,2.3,1.1,0.9,0.5,0.3,,,
Ennis Whatley,85.8,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
George Dempsey,85.5,3.5,2.2,2.1,1.5,1.4,,,,,
Haywoode Workman,84.6,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,,
Sonny Hertzberg,83.3,4.0,2.5,2.3,1.4,0.7,,,,,
Al Ferrari,81.3,3.3,1.9,1.4,1.4,0.9,0.0,,,,
Charles Johnson,80.7,3.7,2.8,2.4,1.4,1.1,1.0,0.9,,,
