Steals Per Game
2000-01 NBA 2.1 (5th)
2001-02 NBA 2.1 (4th)
2003-04 NBA 2.4 (1st)
2006-07 NBA 2.1 (1st)
2007-08 NBA 2.3 (3rd)
2009-10 NBA 1.7 (8th)
Career NBA 1.8 (24th)
Career 1.8 (28th)
