Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,22,CHH,NBA,PG,1,0,13:00,1,5,.200,0,3,.000,0,0,,0,1,5,0,0,3,1,2
2003-04,24,NOH,NBA,PG,1,0,16:00,3,9,.333,1,6,.167,0,0,,0,0,7,1,0,1,0,7
