Assists Per Game
2001-02 NBA 8.5 (4th)
2003-04 NBA 7.5 (4th)
2005-06 NBA 8.9 (2nd)
2006-07 NBA 8.1 (5th)
2007-08 NBA 7.6 (6th)
2008-09 NBA 7.7 (7th)
2009-10 NBA 8.0 (7th)
Career NBA 7.2 (24th)
Career 7.2 (24th)
