Value Over Replacement Player
2002-03 NBA 6.4 (6th)
2003-04 NBA 4.7 (10th)
2004-05 NBA 5.5 (5th)
2005-06 NBA 5.9 (8th)
2006-07 NBA 5.7 (4th)
Career NBA 52.1 (27th)
Career 52.1 (29th)
