Rebounds Per Game
2000-01 NBA 10.7 (8th)
2001-02 NBA 9.9 (9th)
2002-03 NBA 9.5 (8th)
2004-05 NBA 11.3 (3rd)
2005-06 NBA 11.8 (3rd)
2006-07 NBA 9.8 (8th)
Career NBA 8.7 (98th)
