Defensive Win Shares
2000-01 NBA 6.4 (2nd)
2001-02 NBA 5.1 (8th)
2002-03 NBA 5.8 (5th)
2004-05 NBA 5.2 (7th)
2005-06 NBA 5.9 (3rd)
2006-07 NBA 5.3 (6th)
Career NBA 61.3 (26th)
Career 61.3 (28th)
