Steals Per Game
2002-03 NBA 2.3 (3rd)
2003-04 NBA 2.1 (2nd)
2004-05 NBA 2.0 (4th)
2005-06 NBA 2.0 (5th)
2006-07 NBA 1.9 (6th)
2007-08 NBA 2.0 (7th)
Career NBA 1.5 (74th)
Career 1.5 (77th)
