Defensive Rebound Pct
2006-07 NBA 27.6 (5th)
2008-09 NBA 27.9 (7th)
2009-10 NBA 27.6 (7th)
Active 24.1 (9th)
Career NBA 24.1 (25th)
Career 24.1 (28th)
