Rebounds Per Game
2008-09 NBA 11.7 (3rd)
2009-10 NBA 11.7 (4th)
2010-11 NBA 9.8 (7th)
2012-13 NBA 11.2 (5th)
Active 9.0 (10th)
Career NBA 9.0 (85th)
Career 9.0 (99th)
