Player,Sim,1,2,3
Troy Daniels,,1.1,0.2,0.2
Ricky Davis,97.2,1.1,0.2,0.2
Lowes Moore,96.4,1.1,0.2,0.2
Kelvin Upshaw,86.6,1.0,0.3,0.3
Nate Hawthorne,84.5,1.1,0.5,0.1
Reggie Bullock,84.2,1.2,0.2,0.1
Anthony Johnson,83.8,1.1,0.4,0.3
Mike Holton,79.1,0.8,0.3,0.2
Ronnie Price,78.5,1.1,0.4,0.1
Pace Mannion,75.4,0.9,0.4,0.2
Kyle Weaver,75.4,1.2,0.3,0.0
