Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brian Scalabrine,,1.7,1.4,1.1,1.0,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Marc Iavaroni,81.7,1.7,1.5,1.4,1.1,1.0,0.7,0.6,,,,
John Wallace,81.2,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,,,
Scott Hastings,76.8,2.1,1.5,1.3,1.3,1.0,0.8,0.5,0.4,0.3,0.3,0.1
Malik Allen,76.5,1.1,1.0,1.0,1.0,0.9,0.7,0.5,0.3,0.2,0.1,
Darvin Ham,73.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,,,
Michael Ruffin,72.8,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0,,
Anthony Randolph,72.1,1.6,1.5,1.1,0.6,0.5,0.5,,,,,
Larry Staverman,70.6,1.6,1.6,1.4,1.2,1.1,,,,,,
Jeff Grayer,69.4,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1,,
Greg Foster,68.3,1.3,1.0,1.0,0.6,0.6,0.5,0.4,0.2,0.1,0.1,0.0
