Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Iman Shumpert,,2.4,2.0,1.9,1.7,1.5,,,,,,
Gordan Giricek,84.6,2.4,1.9,1.8,1.6,0.5,-0.2,,,,,
Mike Bratz,84.3,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,
Haywoode Workman,82.4,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,,,
George Dempsey,81.4,3.5,2.2,2.1,1.5,1.4,,,,,,
Em Bryant,80.6,2.1,2.0,1.9,1.7,1.1,0.5,0.1,-0.7,,,
Alonzo Gee,78.8,2.4,1.9,1.9,1.2,1.0,0.9,0.4,,,,
Elston Turner,78.6,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,,,
Jerry Fleishman,77.8,2.2,2.1,1.6,1.3,0.6,,,,,,
Med Park,77.5,1.9,1.9,1.8,1.6,0.4,,,,,,
John Crotty,76.0,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1
