Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,11,197,.389,18.4,.370,.148,.056,.074,.093,.630,.450,.625,.000,.250,.600,.353,.556,.000,0,.917,.618,.381,0,0
1 season,,NJN,NBA,,11,197,.389,18.4,.370,.148,.056,.074,.093,.630,.450,.625,.000,.250,.600,.353,.556,.000,0,.917,.618,.381,0,0
