Player,Sim,1,2,3,4,5,6,7,8,9,10
Patty Mills,,5.6,4.8,1.5,1.4,0.9,0.7,0.0,,,
Ron Brewer,80.4,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,,
Randy Wittman,78.2,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,
Jim Spanarkel,78.0,5.5,5.2,1.0,0.4,0.2,,,,,
Keith Askins,77.9,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,
Scott Burrell,76.4,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,,
Paul Hoffman,76.1,4.7,4.1,2.2,1.1,0.8,,,,,
Roger Mason,75.4,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Kenny Sailors,74.6,5.2,4.9,3.7,1.7,1.6,,,,,
Al Wood,74.2,4.4,4.2,2.5,2.3,1.0,0.9,,,,
Ricky Rubio,73.8,5.9,5.8,3.0,2.0,0.5,,,,,
