Player,Sim,1,2,3,4,5,6,7
Patty Mills,,5.6,4.8,1.5,1.4,0.9,0.7,0.0
Ron Brewer,80.7,5.6,4.3,3.3,1.6,1.4,0.8,0.3
Keith Askins,80.6,4.4,4.3,1.9,1.4,0.7,0.6,0.3
Tony Delk,79.6,4.6,4.6,2.5,1.6,1.3,0.8,0.4
Randy Wittman,78.4,5.9,4.2,3.5,1.6,1.2,0.7,0.0
Jim Spanarkel,78.0,5.5,5.2,1.0,0.4,0.2,,
Bob Sura,77.1,5.2,4.9,4.1,1.6,0.7,0.4,0.1
Scott Burrell,76.9,5.6,3.7,3.2,1.4,1.1,0.8,0.5
Doug West,76.5,4.6,4.3,2.6,1.8,1.2,0.8,-0.1
Paul Hoffman,76.1,4.7,4.1,2.2,1.1,0.8,,
Craig Ehlo,75.6,6.5,4.6,3.1,1.2,0.5,0.2,0.0
